,ID,Value,CooX,CooY,CooZ,month
3,LZA3-3,24.866666666666664,590643.0,7416257.0,2318.0,7
4,Toconao_P.,13.3,601777.0,7435573.0,2492.0,7
5,Chaxa,20.50555555555556,583500.0,7424261.0,2307.0,7
6,Cordillera_Sal,23.4,544617.332,7385424.18699999,2363.11599999999,7
7,KCL,17.988235294117647,561354.0,7396247.0,2307.0,7
8,LZA10-1,20.15,577260.0,7374203.0,2373.0,7
9,LZA12-1,21.65,592024.0,7417669.0,2322.0,7
10,LZA12-2,21.625,593270.0,7394869.0,2317.0,7
11,LZA12-3,20.175,589176.0,7451502.0,2359.0,7
12,LZA3-1,24.866666666666664,591181.0,7403651.0,2306.0,7
13,LZA3-2,21.325,590360.0,7408580.0,2306.0,7
14,LZA7-1,24.35,591699.0,7394060.0,2312.0,7
15,LZA7-2,21.075,593914.0,7388616.0,2311.0,7
16,LZA9-1,22.85,584166.0,7379517.0,2310.0,7
17,Paso_Jama,34.400000000000006,632989.0,7464136.0,4825.0,7
18,Paso_Sico,36.0,658720.0,7364239.0,4323.0,7
19,SOP,18.88571428571429,562717.0,7403324.0,2300.0,7
20,Toconao_DGAC,15.283333333333331,601775.479999999,7435529.78199999,2495.0,7
21,Toconao_Q.1,28.9,621564.0,7431858.0,3990.0,7
22,Toconao_Q.4,21.9,612592.0,7438698.0,3437.0,7
0,San_Pedro,18.366666666666664,581987.0,7466178.0,2450.0,8
1,Peine,25.53333333333333,595137.0,7380682.0,2460.0,8
2,Toconao_Exp,33.65,602387.873999999,7434809.217,2500.0,8
3,Toconao_P.,8.8,601777.0,7435573.0,2492.0,8
4,Chaxa,17.468421052631573,583500.0,7424261.0,2307.0,8
5,Cordillera_Sal,11.4,544617.332,7385424.18699999,2363.11599999999,8
6,KCL,15.366666666666667,561354.0,7396247.0,2307.0,8
7,LZA10-1,15.275000000000002,577260.0,7374203.0,2373.0,8
8,LZA12-1,15.725000000000001,592024.0,7417669.0,2322.0,8
9,LZA12-2,15.5,593270.0,7394869.0,2317.0,8
10,LZA12-3,14.55,589176.0,7451502.0,2359.0,8
11,LZA3-1,17.975,591181.0,7403651.0,2306.0,8
12,LZA3-2,15.575,590360.0,7408580.0,2306.0,8
13,LZA3-3,19.325,590643.0,7416257.0,2318.0,8
14,LZA7-1,18.2,591699.0,7394060.0,2312.0,8
15,LZA7-2,14.8,593914.0,7388616.0,2311.0,8
16,LZA9-1,16.525,584166.0,7379517.0,2310.0,8
17,Paso_Jama,21.633333333333336,632989.0,7464136.0,4825.0,8
18,Paso_Sico,18.866666666666667,658720.0,7364239.0,4323.0,8
19,SOP,15.187499999999998,562717.0,7403324.0,2300.0,8
20,Toconao_DGAC,11.783333333333333,601775.479999999,7435529.78199999,2495.0,8
21,Toconao_Q.1,18.766666666666666,621564.0,7431858.0,3990.0,8
22,Toconao_Q.4,13.166666666666666,612592.0,7438698.0,3437.0,8
0,San_Pedro,16.666666666666668,581987.0,7466178.0,2450.0,9
1,Peine,21.566666666666663,595137.0,7380682.0,2460.0,9
2,Toconao_Exp,30.3,602387.873999999,7434809.217,2500.0,9
3,Toconao_DGAC,11.3,601775.479999999,7435529.78199999,2495.0,9
4,Toconao_P.,10.25,601777.0,7435573.0,2492.0,9
5,Chaxa,15.142105263157895,583500.0,7424261.0,2307.0,9
6,Cordillera_Sal,7.3,544617.332,7385424.18699999,2363.11599999999,9
7,KCL,13.238888888888887,561354.0,7396247.0,2307.0,9
8,LZA10-1,12.849999999999998,577260.0,7374203.0,2373.0,9
9,LZA12-1,13.625,592024.0,7417669.0,2322.0,9
10,LZA12-2,13.4,593270.0,7394869.0,2317.0,9
11,LZA12-3,12.825,589176.0,7451502.0,2359.0,9
12,LZA3-1,14.233333333333334,591181.0,7403651.0,2306.0,9
13,LZA3-2,12.950000000000001,590360.0,7408580.0,2306.0,9
14,LZA3-3,17.175,590643.0,7416257.0,2318.0,9
15,LZA7-1,15.425,591699.0,7394060.0,2312.0,9
16,LZA7-2,12.45,593914.0,7388616.0,2311.0,9
17,LZA9-1,12.133333333333335,584166.0,7379517.0,2310.0,9
18,Paso_Jama,18.466666666666665,632989.0,7464136.0,4825.0,9
19,Paso_Sico,15.466666666666667,658720.0,7364239.0,4323.0,9
20,SOP,13.214285714285714,562717.0,7403324.0,2300.0,9
21,Toconao_Q.1,15.899999999999999,621564.0,7431858.0,3990.0,9
22,Toconao_Q.4,12.466666666666667,612592.0,7438698.0,3437.0,9
0,San_Pedro,18.466666666666665,581987.0,7466178.0,2450.0,10
1,Peine,22.75,595137.0,7380682.0,2460.0,10
2,Socaire,15.1,613092.0,7390963.0,3251.0,10
3,Toconao_Exp,26.3625,602387.873999999,7434809.217,2500.0,10
4,Paso_Sico,13.7,658720.0,7364239.0,4323.0,10
5,Toconao_DGAC,10.8,601775.479999999,7435529.78199999,2495.0,10
6,Toconao_P.,9.65,601777.0,7435573.0,2492.0,10
7,Chaxa,14.689473684210528,583500.0,7424261.0,2307.0,10
8,Cordillera_Sal,8.3,544617.332,7385424.18699999,2363.11599999999,10
9,KCL,13.444444444444445,561354.0,7396247.0,2307.0,10
10,LZA10-1,13.75,577260.0,7374203.0,2373.0,10
11,LZA12-1,14.95,592024.0,7417669.0,2322.0,10
12,LZA12-2,14.475000000000001,593270.0,7394869.0,2317.0,10
13,LZA12-3,14.350000000000001,589176.0,7451502.0,2359.0,10
14,LZA3-1,14.950000000000001,591181.0,7403651.0,2306.0,10
15,LZA3-2,13.825,590360.0,7408580.0,2306.0,10
16,LZA3-3,17.5,590643.0,7416257.0,2318.0,10
17,LZA7-1,15.975000000000001,591699.0,7394060.0,2312.0,10
18,LZA7-2,13.575,593914.0,7388616.0,2311.0,10
19,LZA9-1,13.774999999999999,584166.0,7379517.0,2310.0,10
20,Paso_Jama,19.63333333333333,632989.0,7464136.0,4825.0,10
21,SOP,12.5625,562717.0,7403324.0,2300.0,10
22,Toconao_Q.1,18.400000000000002,621564.0,7431858.0,3990.0,10
23,Toconao_Q.4,16.033333333333335,612592.0,7438698.0,3437.0,10
0,San_Pedro,20.366666666666667,581987.0,7466178.0,2450.0,11
1,Peine,25.724999999999998,595137.0,7380682.0,2460.0,11
2,Socaire,15.0,613092.0,7390963.0,3251.0,11
3,Toconao_Exp,29.65625,602387.873999999,7434809.217,2500.0,11
4,Paso_Sico,17.049999999999997,658720.0,7364239.0,4323.0,11
5,Toconao_DGAC,12.02,601775.479999999,7435529.78199999,2495.0,11
6,Toconao_P.,13.3,601777.0,7435573.0,2492.0,11
7,Toconao_Q.4,16.85,612592.0,7438698.0,3437.0,11
8,Chaxa,15.43888888888889,583500.0,7424261.0,2307.0,11
9,Cordillera_Sal,10.4,544617.332,7385424.18699999,2363.11599999999,11
10,KCL,14.36111111111111,561354.0,7396247.0,2307.0,11
11,LZA10-1,13.775,577260.0,7374203.0,2373.0,11
12,LZA12-1,15.675,592024.0,7417669.0,2322.0,11
13,LZA12-2,15.100000000000001,593270.0,7394869.0,2317.0,11
14,LZA12-3,15.55,589176.0,7451502.0,2359.0,11
15,LZA3-1,15.3,591181.0,7403651.0,2306.0,11
16,LZA3-2,14.249999999999998,590360.0,7408580.0,2306.0,11
17,LZA3-3,17.575,590643.0,7416257.0,2318.0,11
18,LZA7-1,16.225,591699.0,7394060.0,2312.0,11
19,LZA7-2,14.0,593914.0,7388616.0,2311.0,11
20,LZA9-1,13.6,584166.0,7379517.0,2310.0,11
21,Paso_Jama,21.36666666666667,632989.0,7464136.0,4825.0,11
22,SOP,13.075,562717.0,7403324.0,2300.0,11
23,Toconao_Q.1,21.46666666666667,621564.0,7431858.0,3990.0,11
0,San_Pedro,26.399999999999995,581987.0,7466178.0,2450.0,12
1,Peine,34.0,595137.0,7380682.0,2460.0,12
2,Toconao_Exp,35.25384615384615,602387.873999999,7434809.217,2500.0,12
3,Paso_Sico,24.3,658720.0,7364239.0,4323.0,12
4,Toconao_DGAC,14.940000000000001,601775.479999999,7435529.78199999,2495.0,12
5,Toconao_P.,18.049999999999997,601777.0,7435573.0,2492.0,12
6,Toconao_Q.4,24.45,612592.0,7438698.0,3437.0,12
7,Chaxa,18.27368421052632,583500.0,7424261.0,2307.0,12
8,Cordillera_Sal,12.100000000000001,544617.332,7385424.18699999,2363.11599999999,12
9,KCL,17.78333333333334,561354.0,7396247.0,2307.0,12
10,LZA10-1,15.725,577260.0,7374203.0,2373.0,12
11,LZA12-1,17.475,592024.0,7417669.0,2322.0,12
12,LZA12-2,17.225,593270.0,7394869.0,2317.0,12
13,LZA12-3,17.85,589176.0,7451502.0,2359.0,12
14,LZA3-1,16.9,591181.0,7403651.0,2306.0,12
15,LZA3-2,15.899999999999999,590360.0,7408580.0,2306.0,12
16,LZA3-3,18.8,590643.0,7416257.0,2318.0,12
17,LZA7-1,17.925,591699.0,7394060.0,2312.0,12
18,LZA7-2,15.899999999999999,593914.0,7388616.0,2311.0,12
19,LZA9-1,15.25,584166.0,7379517.0,2310.0,12
20,Paso_Jama,28.766666666666666,632989.0,7464136.0,4825.0,12
21,SOP,16.125,562717.0,7403324.0,2300.0,12
22,Toconao_Q.1,27.166666666666668,621564.0,7431858.0,3990.0,12
