,ID,CooX,CooY,CooZ,Date,Value
2140,Socaire,613092.0,7390963.0,3251.0,1976-04-30,10.0
33,Caspana,581126.0,7529664.0,3260.0,1976-05-31,8.7
1571,Monturaqui,557103.126,7307450.25499999,3430.0,1976-05-31,4.6
1667,Peine,595137.0,7380682.0,2460.0,1976-05-31,12.6
1979,San_Pedro,581987.0,7466178.0,2450.0,1976-05-31,11.3
2141,Socaire,613092.0,7390963.0,3251.0,1976-05-31,6.2
34,Caspana,581126.0,7529664.0,3260.0,1976-06-30,7.7
1572,Monturaqui,557103.126,7307450.25499999,3430.0,1976-06-30,3.0
1668,Peine,595137.0,7380682.0,2460.0,1976-06-30,11.2
1980,San_Pedro,581987.0,7466178.0,2450.0,1976-06-30,8.4
2142,Socaire,613092.0,7390963.0,3251.0,1976-06-30,7.7
35,Caspana,581126.0,7529664.0,3260.0,1976-07-31,8.3
1573,Monturaqui,557103.126,7307450.25499999,3430.0,1976-07-31,2.8
1669,Peine,595137.0,7380682.0,2460.0,1976-07-31,12.6
1981,San_Pedro,581987.0,7466178.0,2450.0,1976-07-31,9.6
2143,Socaire,613092.0,7390963.0,3251.0,1976-07-31,7.3
36,Caspana,581126.0,7529664.0,3260.0,1976-08-31,7.9
1574,Monturaqui,557103.126,7307450.25499999,3430.0,1976-08-31,0.2
1670,Peine,595137.0,7380682.0,2460.0,1976-08-31,11.9
1982,San_Pedro,581987.0,7466178.0,2450.0,1976-08-31,10.3
2144,Socaire,613092.0,7390963.0,3251.0,1976-08-31,5.8
37,Caspana,581126.0,7529664.0,3260.0,1976-09-30,8.9
1575,Monturaqui,557103.126,7307450.25499999,3430.0,1976-09-30,3.9
1671,Peine,595137.0,7380682.0,2460.0,1976-09-30,14.2
1983,San_Pedro,581987.0,7466178.0,2450.0,1976-09-30,12.9
2145,Socaire,613092.0,7390963.0,3251.0,1976-09-30,8.0
38,Caspana,581126.0,7529664.0,3260.0,1976-10-31,9.9
1576,Monturaqui,557103.126,7307450.25499999,3430.0,1976-10-31,7.1
1672,Peine,595137.0,7380682.0,2460.0,1976-10-31,16.3
1984,San_Pedro,581987.0,7466178.0,2450.0,1976-10-31,14.5
2146,Socaire,613092.0,7390963.0,3251.0,1976-10-31,10.4
39,Caspana,581126.0,7529664.0,3260.0,1976-11-30,11.0
1577,Monturaqui,557103.126,7307450.25499999,3430.0,1976-11-30,9.0
1673,Peine,595137.0,7380682.0,2460.0,1976-11-30,18.5
1985,San_Pedro,581987.0,7466178.0,2450.0,1976-11-30,16.0
2147,Socaire,613092.0,7390963.0,3251.0,1976-11-30,11.4
40,Caspana,581126.0,7529664.0,3260.0,1976-12-31,12.9
1578,Monturaqui,557103.126,7307450.25499999,3430.0,1976-12-31,12.0
1674,Peine,595137.0,7380682.0,2460.0,1976-12-31,20.2
1986,San_Pedro,581987.0,7466178.0,2450.0,1976-12-31,18.3
2148,Socaire,613092.0,7390963.0,3251.0,1976-12-31,13.5
41,Caspana,581126.0,7529664.0,3260.0,1977-01-31,13.0
1579,Monturaqui,557103.126,7307450.25499999,3430.0,1977-01-31,12.0
1675,Peine,595137.0,7380682.0,2460.0,1977-01-31,21.3
1987,San_Pedro,581987.0,7466178.0,2450.0,1977-01-31,18.3
2149,Socaire,613092.0,7390963.0,3251.0,1977-01-31,13.7
42,Caspana,581126.0,7529664.0,3260.0,1977-02-28,12.5
1580,Monturaqui,557103.126,7307450.25499999,3430.0,1977-02-28,12.4
1676,Peine,595137.0,7380682.0,2460.0,1977-02-28,20.0
1988,San_Pedro,581987.0,7466178.0,2450.0,1977-02-28,18.2
2150,Socaire,613092.0,7390963.0,3251.0,1977-02-28,13.4
43,Caspana,581126.0,7529664.0,3260.0,1977-03-31,12.9
1581,Monturaqui,557103.126,7307450.25499999,3430.0,1977-03-31,12.2
1677,Peine,595137.0,7380682.0,2460.0,1977-03-31,18.4
1989,San_Pedro,581987.0,7466178.0,2450.0,1977-03-31,18.3
2151,Socaire,613092.0,7390963.0,3251.0,1977-03-31,14.1
44,Caspana,581126.0,7529664.0,3260.0,1977-04-30,10.4
1582,Monturaqui,557103.126,7307450.25499999,3430.0,1977-04-30,7.8
1678,Peine,595137.0,7380682.0,2460.0,1977-04-30,17.6
1990,San_Pedro,581987.0,7466178.0,2450.0,1977-04-30,15.4
2152,Socaire,613092.0,7390963.0,3251.0,1977-04-30,10.9
45,Caspana,581126.0,7529664.0,3260.0,1977-05-31,8.9
1583,Monturaqui,557103.126,7307450.25499999,3430.0,1977-05-31,6.6
1679,Peine,595137.0,7380682.0,2460.0,1977-05-31,15.7
1991,San_Pedro,581987.0,7466178.0,2450.0,1977-05-31,13.4
2153,Socaire,613092.0,7390963.0,3251.0,1977-05-31,10.0
46,Caspana,581126.0,7529664.0,3260.0,1977-06-30,8.5
1584,Monturaqui,557103.126,7307450.25499999,3430.0,1977-06-30,4.6
1680,Peine,595137.0,7380682.0,2460.0,1977-06-30,9.5
1992,San_Pedro,581987.0,7466178.0,2450.0,1977-06-30,10.9
2154,Socaire,613092.0,7390963.0,3251.0,1977-06-30,8.1
47,Caspana,581126.0,7529664.0,3260.0,1977-07-31,7.7
1585,Monturaqui,557103.126,7307450.25499999,3430.0,1977-07-31,2.3
1681,Peine,595137.0,7380682.0,2460.0,1977-07-31,11.6
1993,San_Pedro,581987.0,7466178.0,2450.0,1977-07-31,10.7
2155,Socaire,613092.0,7390963.0,3251.0,1977-07-31,7.9
48,Caspana,581126.0,7529664.0,3260.0,1977-08-31,8.1
1586,Monturaqui,557103.126,7307450.25499999,3430.0,1977-08-31,2.5
1682,Peine,595137.0,7380682.0,2460.0,1977-08-31,11.7
1994,San_Pedro,581987.0,7466178.0,2450.0,1977-08-31,12.1
2156,Socaire,613092.0,7390963.0,3251.0,1977-08-31,8.4
49,Caspana,581126.0,7529664.0,3260.0,1977-09-30,10.5
1587,Monturaqui,557103.126,7307450.25499999,3430.0,1977-09-30,7.9
1683,Peine,595137.0,7380682.0,2460.0,1977-09-30,15.8
1995,San_Pedro,581987.0,7466178.0,2450.0,1977-09-30,15.0
2157,Socaire,613092.0,7390963.0,3251.0,1977-09-30,11.4
50,Caspana,581126.0,7529664.0,3260.0,1977-10-31,11.6
