,ID,Value,CooX,CooY,CooZ,month
8,Chaxa,0.7368421052631579,583500.0,7424261.0,2307.0,7
9,Cordillera_Sal,0.0,544617.332,7385424.187,2363.116,7
10,El_Tatio,0.926829268292683,601280.0,7527955.0,4370.0,7
11,KCL,1.5263157894736843,561354.0,7396247.0,2307.0,7
12,LZA10-1,1.5499999999999998,577260.0,7374203.0,2309.0,7
13,LZA12-1,0.725,592024.0,7417669.0,2316.0,7
14,LZA12-2,0.9,593270.0,7394869.0,2317.0,7
15,LZA12-3,0.575,589176.0,7451502.0,2359.0,7
16,LZA3-1,0.6666666666666666,591181.0,7403651.0,2306.0,7
17,LZA3-2,0.95,590360.0,7408580.0,2306.0,7
18,LZA7-1,0.825,591699.0,7394060.0,2312.0,7
19,LZA7-2,1.2,593914.0,7388616.0,2311.0,7
20,LZA9-1,1.35,584166.0,7379517.0,2310.0,7
21,Paso_Jama,0.0,632989.0,7464136.0,4825.0,7
22,Paso_Sico,0.2,658720.0,7364239.0,4323.0,7
23,Peine,0.8863636363636364,595137.0,7380682.0,2460.0,7
24,Planta_Rockwood,1.6666666666666667,568771.0,7385238.0,2300.0,7
25,Rio_Grande,0.8452380952380952,585548.0,7494766.0,3217.0,7
26,SOP,0.9714285714285715,562717.0,7403324.0,2300.0,7
27,Talabre,3.1739130434782608,613530.0,7421080.0,3255.0,7
28,Toconao_DGAC,0.7666666666666666,599644.77,7433140.71,2495.0,7
29,Toconao_P.,0.2,601777.0,7435573.0,2492.0,7
30,Toconao_Q.4,4.3,612592.0,7438698.0,3437.0,7
0,Monturaqui,0.0,557103.126,7307450.255,3430.0,8
1,Caspana,13.075,581126.0,7529664.0,3260.0,8
2,Chiu-Chiu,2.7600000000000002,537415.0,7529707.0,2524.0,8
3,Toconao_Exp,0.41935483870967744,602387.874,7434809.217,2500.0,8
4,Conchi_E.,0.9146341463414634,605954.0,7411015.0,3010.0,8
5,Toconao_Q.1,0.0,621564.0,7431858.0,3990.0,8
6,Rio_Grande,1.102439024390244,585548.0,7494766.0,3217.0,8
7,San_Pedro,0.22777777777777775,581987.0,7466178.0,2450.0,8
8,Socaire,1.531818181818182,613092.0,7390963.0,3251.0,8
